#{"CCD_temperature": "-88", "FELP": "1", "FELRR": "0.75", "FEL_lambda": "10", "FEL_pulses": 16, "NIRP": "137.505", "NIR_lambda": "764", "Sample_Temp": "17", "addenda": [-16598.725, "FEL_power_sweep"], "bg_file_name": "testBG19", "center_lambda": 751.5, "dark_region": null, "exposure": 20.0, "gain": 125, "grating": 2, "series": "137.505", "shot_normalized": true, "slits": "40", "subtrahenda": ["testBG"], "y_max": 80, "y_min": 25}
#

Wavelength,Signal
nm,arb. u.
nan,nan
nan,nan
1.649592,13.266016
1.649559,7.141016
1.649527,7.016016
1.649494,6.203516
1.649462,8.703516
1.649429,5.703516
1.649396,8.141016
1.649364,4.891016
1.649331,8.953516
1.649299,8.203516
1.649266,4.953516
1.649233,7.516016
1.649201,7.641016
1.649168,7.641016
1.649136,11.641016
1.649103,7.703516
1.649071,9.516016
1.649038,12.516016
1.649005,4.641016
1.648973,6.078516
1.648940,10.703516
1.648908,11.141016
1.648875,0.016016
1.648843,11.453516
1.648810,9.828516
1.648777,11.516016
1.648745,8.141016
1.648712,10.703516
1.648680,12.141016
1.648647,9.891016
1.648615,11.516016
1.648582,7.266016
1.648550,11.516016
1.648517,11.328516
1.648484,11.641016
1.648452,12.391016
1.648419,14.328516
1.648387,7.078516
1.648354,16.328516
1.648322,7.641016
1.648289,10.516016
1.648257,12.578516
1.648224,13.641016
1.648192,9.078516
1.648159,15.328516
1.648127,8.391016
1.648094,7.953516
1.648061,11.016016
1.648029,14.891016
1.647996,10.141016
1.647964,14.516016
1.647931,13.453516
1.647899,14.891016
1.647866,9.578516
1.647834,13.828516
1.647801,13.516016
1.647769,6.078516
1.647736,9.703516
1.647704,10.703516
1.647671,13.453516
1.647639,14.766016
1.647606,13.328516
1.647574,11.078516
1.647541,11.141016
1.647509,12.953516
1.647476,12.203516
1.647444,13.391016
1.647411,13.266016
1.647379,10.516016
1.647346,12.828516
1.647314,4.828516
1.647281,12.141016
1.647249,10.516016
1.647216,10.078516
1.647184,9.953516
1.647151,10.016016
1.647119,15.203516
1.647086,11.453516
1.647054,16.953516
1.647022,11.641016
1.646989,15.141016
1.646957,8.953516
1.646924,15.516016
1.646892,9.016016
1.646859,9.391016
1.646827,15.266016
1.646794,21.266016
